tweet_id	timestamp	source	text	expanded_urls	rating_numerator	rating_denominator	name	gender	dog_stage	year	month	date	day	time
892420643555336193	2017-08-01 16:23:56	iPhone	This is Phineas He's a mystical boy Only ever appears in the hole of a donut 13/10 https://tco/MgUWQ76dJU	https://twitter.com/dog_rates/status/892420643555336193/photo/1	13.0	10	Phineas	male		2017	August	08-01	Tuesday	16:23
892177421306343426	2017-08-01 00:17:27	iPhone	This is Tilly She's just checking pup on you Hopes you're doing ok If not she's available for pats snugs boops the whole bit 13/10 https://tco/0Xxu71qeIV	https://twitter.com/dog_rates/status/892177421306343426/photo/1	13.0	10	Tilly	female		2017	August	08-01	Tuesday	00:17
891815181378084864	2017-07-31 00:18:03	iPhone	This is Archie He is a rare Norwegian Pouncing Corgo Lives in the tall grass You never know when one may strike 12/10 https://tco/wUnZnhtVJB	https://twitter.com/dog_rates/status/891815181378084864/photo/1	12.0	10	Archie	male		2017	July	07-31	Monday	00:18
891689557279858688	2017-07-30 15:58:51	iPhone	This is Darla She commenced a snooze mid meal 13/10 happens to the best of us https://tco/tD36da7qLQ	https://twitter.com/dog_rates/status/891689557279858688/photo/1	13.0	10	Darla	female		2017	July	07-30	Sunday	15:58
891327558926688256	2017-07-29 16:00:24	iPhone	"This is Franklin He would like you to stop calling him ""cute"" He is a very fierce shark and should be respected as such 12/10 #BarkWeek https://tco/AtUZn91f7f"	https://twitter.com/dog_rates/status/891327558926688256/photo/1,https://twitter.com/dog_rates/status/891327558926688256/photo/1	12.0	10	Franklin	male		2017	July	07-29	Saturday	16:00
891087950875897856	2017-07-29 00:08:17	iPhone	Here we have a majestic great white breaching off South Africa's coast Absolutely h*ckin breathtaking 13/10 (IG: tucker_marlo) #BarkWeek https://tco/kQ04fDDRmh	https://twitter.com/dog_rates/status/891087950875897856/photo/1	13.0	10		none		2017	July	07-29	Saturday	00:08
890971913173991426	2017-07-28 16:27:12	iPhone	"Meet Jax He enjoys ice cream so much he gets nervous around it 13/10 help Jax enjoy more things by clicking below

https://tco/Zr4hWfAs1H https://tco/tVJBRMnhxl"	https://gofundme.com/ydvmve-surgery-for-jax,https://twitter.com/dog_rates/status/890971913173991426/photo/1	13.0	10	Jax	male		2017	July	07-28	Friday	16:27
890729181411237888	2017-07-28 00:22:40	iPhone	When you watch your owner call another dog a good boy but then they turn back to you and say you're a great boy 13/10 https://tco/v0nONBcwxq	https://twitter.com/dog_rates/status/890729181411237888/photo/1,https://twitter.com/dog_rates/status/890729181411237888/photo/1	13.0	10		none		2017	July	07-28	Friday	00:22
890609185150312448	2017-07-27 16:25:51	iPhone	This is Zoey She doesn't want to be one of the scary sharks Just wants to be a snuggly pettable boatpet 13/10 #BarkWeek https://tco/9TwLuAGH0b	https://twitter.com/dog_rates/status/890609185150312448/photo/1	13.0	10	Zoey	female		2017	July	07-27	Thursday	16:25
890240255349198849	2017-07-26 15:59:51	iPhone	This is Cassie She is a college pup Studying international doggo communication and stick theory 14/10 so elegant much sophisticate https://tco/t1bfwz5S2A	https://twitter.com/dog_rates/status/890240255349198849/photo/1	14.0	10	Cassie	female	doggo	2017	July	07-26	Wednesday	15:59
890006608113172480	2017-07-26 00:31:25	iPhone	This is Koda He is a South Australian deckshark Deceptively deadly Frighteningly majestic 13/10 would risk a petting #BarkWeek https://tco/dVPW0B0Mme	https://twitter.com/dog_rates/status/890006608113172480/photo/1,https://twitter.com/dog_rates/status/890006608113172480/photo/1	13.0	10	Koda	male		2017	July	07-26	Wednesday	00:31
889880896479866881	2017-07-25 16:11:53	iPhone	This is Bruno He is a service shark Only gets out of the water to assist you 13/10 terrifyingly good boy https://tco/u1XPQMl29g	https://twitter.com/dog_rates/status/889880896479866881/photo/1	13.0	10	Bruno	male		2017	July	07-25	Tuesday	16:11
889665388333682689	2017-07-25 01:55:32	iPhone	Here's a puppo that seems to be on the fence about something haha no but seriously someone help her 13/10 https://tco/BxvuXk0UCm	https://twitter.com/dog_rates/status/889665388333682689/photo/1	13.0	10		female	puppo	2017	July	07-25	Tuesday	01:55
889638837579907072	2017-07-25 00:10:02	iPhone	This is Ted He does his best Sometimes that's not enough But it's ok 12/10 would assist https://tco/f8dEDcrKSR	https://twitter.com/dog_rates/status/889638837579907072/photo/1,https://twitter.com/dog_rates/status/889638837579907072/photo/1	12.0	10	Ted	male		2017	July	07-25	Tuesday	00:10
889531135344209921	2017-07-24 17:02:04	iPhone	This is Stuart He's sporting his favorite fanny pack Secretly filled with bones only 13/10 puppared puppo #BarkWeek https://tco/y70o6h3isq	https://twitter.com/dog_rates/status/889531135344209921/photo/1	13.0	10	Stuart	male	puppo	2017	July	07-24	Monday	17:02
