tweet_id	timestamp	source	text	expanded_urls	rating_numerator	rating_denominator	name	gender	dog_stage	year	month	date	day	time	jpg_url	img_num	p1	p1_conf	p1_dog	p2	p2_conf	p2_dog	p3	p3_conf	p3_dog	favorite_count	retweet_count
891815181378084864	2017-07-31 00:18:03	iPhone	This is Archie He is a rare Norwegian Pouncing Corgo Lives in the tall grass You never know when one may strike 12/10 https://tco/wUnZnhtVJB	https://twitter.com/dog_rates/status/891815181378084864/photo/1	12.0	10	Archie	male		2017	July	07-31	Monday	00:18	https://pbs.twimg.com/media/DGBdLU1WsAANxJ9.jpg	1	Chihuahua	0.716012	True	malamute	0.078253	True	kelpie	0.0313789	True	24660	4088
891689557279858688	2017-07-30 15:58:51	iPhone	This is Darla She commenced a snooze mid meal 13/10 happens to the best of us https://tco/tD36da7qLQ	https://twitter.com/dog_rates/status/891689557279858688/photo/1	13.0	10	Darla	female		2017	July	07-30	Sunday	15:58	https://pbs.twimg.com/media/DF_q7IAWsAEuuN8.jpg	1	paper_towel	0.17027799999999998	False	Labrador_retriever	0.168086	True	spatula	0.0408359	False	41517	8495
891327558926688256	2017-07-29 16:00:24	iPhone	"This is Franklin He would like you to stop calling him ""cute"" He is a very fierce shark and should be respected as such 12/10 #BarkWeek https://tco/AtUZn91f7f"	https://twitter.com/dog_rates/status/891327558926688256/photo/1,https://twitter.com/dog_rates/status/891327558926688256/photo/1	12.0	10	Franklin	male		2017	July	07-29	Saturday	16:00	https://pbs.twimg.com/media/DF6hr6BUMAAzZgT.jpg	2	basset	0.555712	True	English_springer	0.22577	True	German_short-haired_pointer	0.175219	True	39708	9201
891087950875897856	2017-07-29 00:08:17	iPhone	Here we have a majestic great white breaching off South Africa's coast Absolutely h*ckin breathtaking 13/10 (IG: tucker_marlo) #BarkWeek https://tco/kQ04fDDRmh	https://twitter.com/dog_rates/status/891087950875897856/photo/1	13.0	10		none		2017	July	07-29	Saturday	00:08	https://pbs.twimg.com/media/DF3HwyEWsAABqE6.jpg	1	Chesapeake_Bay_retriever	0.425595	True	Irish_terrier	0.116317	True	Indian_elephant	0.07690219999999999	False	19932	3060
890729181411237888	2017-07-28 00:22:40	iPhone	When you watch your owner call another dog a good boy but then they turn back to you and say you're a great boy 13/10 https://tco/v0nONBcwxq	https://twitter.com/dog_rates/status/890729181411237888/photo/1,https://twitter.com/dog_rates/status/890729181411237888/photo/1	13.0	10		none		2017	July	07-28	Friday	00:22	https://pbs.twimg.com/media/DFyBahAVwAAhUTd.jpg	2	Pomeranian	0.566142	True	Eskimo_dog	0.17840599999999998	True	Pembroke	0.0765069	True	64436	18557
890609185150312448	2017-07-27 16:25:51	iPhone	This is Zoey She doesn't want to be one of the scary sharks Just wants to be a snuggly pettable boatpet 13/10 #BarkWeek https://tco/9TwLuAGH0b	https://twitter.com/dog_rates/status/890609185150312448/photo/1	13.0	10	Zoey	female		2017	July	07-27	Thursday	16:25	https://pbs.twimg.com/media/DFwUU__XcAEpyXI.jpg	1	Irish_terrier	0.487574	True	Irish_setter	0.193054	True	Chesapeake_Bay_retriever	0.118184	True	27387	4204
890006608113172480	2017-07-26 00:31:25	iPhone	This is Koda He is a South Australian deckshark Deceptively deadly Frighteningly majestic 13/10 would risk a petting #BarkWeek https://tco/dVPW0B0Mme	https://twitter.com/dog_rates/status/890006608113172480/photo/1,https://twitter.com/dog_rates/status/890006608113172480/photo/1	13.0	10	Koda	male		2017	July	07-26	Wednesday	00:31	https://pbs.twimg.com/media/DFnwSY4WAAAMliS.jpg	1	Samoyed	0.957979	True	Pomeranian	0.0138835	True	chow	0.00816748	True	30222	7215
889638837579907072	2017-07-25 00:10:02	iPhone	This is Ted He does his best Sometimes that's not enough But it's ok 12/10 would assist https://tco/f8dEDcrKSR	https://twitter.com/dog_rates/status/889638837579907072/photo/1,https://twitter.com/dog_rates/status/889638837579907072/photo/1	12.0	10	Ted	male		2017	July	07-25	Tuesday	00:10	https://pbs.twimg.com/media/DFihzFfXsAYGDPR.jpg	1	French_bulldog	0.99165	True	boxer	0.00212864	True	Staffordshire_bullterrier	0.00149818	True	26758	4473
889278841981685760	2017-07-24 00:19:32	iPhone	This is Oliver You're witnessing one of his many brutal attacks Seems to be playing with his victim 13/10 fr*ckin frightening #BarkWeek https://tco/WpHvrQedPb	https://twitter.com/dog_rates/status/889278841981685760/video/1	13.0	10	Oliver	male		2017	July	07-24	Monday	00:19	https://pbs.twimg.com/ext_tw_video_thumb/889278779352338437/pu/img/VlbFB3v8H8VwzVNY.jpg	1	whippet	0.626152	True	borzoi	0.194742	True	Saluki	0.0273507	True	24874	5286
888917238123831296	2017-07-23 00:22:39	iPhone	This is Jim He found a fren Taught him how to sit like the good boys 12/10 for both https://tco/chxruIOUJN	https://twitter.com/dog_rates/status/888917238123831296/photo/1	12.0	10	Jim	male		2017	July	07-23	Sunday	00:22	https://pbs.twimg.com/media/DFYRgsOUQAARGhO.jpg	1	golden_retriever	0.714719	True	Tibetan_mastiff	0.120184	True	Labrador_retriever	0.105506	True	28673	4418
